county,precinct,office,district,party,candidate,votes
Wyoming,Arcade 1,President,,DEM,Barack Obama,214
Wyoming,Arcade 2,President,,DEM,Barack Obama,84
Wyoming,Arcade 3,President,,DEM,Barack Obama,101
Wyoming,Arcade 4,President,,DEM,Barack Obama,168
Wyoming,Attica 1,President,,DEM,Barack Obama,105
Wyoming,Attica 2,President,,DEM,Barack Obama,91
Wyoming,Attica 3,President,,DEM,Barack Obama,169
Wyoming,Attica 4,President,,DEM,Barack Obama,111
Wyoming,Bennington 1,President,,DEM,Barack Obama,159
Wyoming,Bennington 2,President,,DEM,Barack Obama,179
Wyoming,Bennington 3,President,,DEM,Barack Obama,149
Wyoming,Castile 1,President,,DEM,Barack Obama,127
Wyoming,Castile 2,President,,DEM,Barack Obama,199
Wyoming,Castile 3,President,,DEM,Barack Obama,135
Wyoming,Covington 1,President,,DEM,Barack Obama,147
Wyoming,Eagle 1,President,,DEM,Barack Obama,180
Wyoming,Gainesville 1,President,,DEM,Barack Obama,55
Wyoming,Gainesville 2,President,,DEM,Barack Obama,111
Wyoming,Gainesville 3,President,,DEM,Barack Obama,99
Wyoming,Gainesville 4,President,,DEM,Barack Obama,70
Wyoming,Genesee Falls 1,President,,DEM,Barack Obama,70
Wyoming,Java 1,President,,DEM,Barack Obama,160
Wyoming,Java 2,President,,DEM,Barack Obama,134
Wyoming,Middlebury 1,President,,DEM,Barack Obama,107
Wyoming,Middlebury 2,President,,DEM,Barack Obama,56
Wyoming,Orangeville 1,President,,DEM,Barack Obama,190
Wyoming,Perry 1,President,,DEM,Barack Obama,162
Wyoming,Perry 2,President,,DEM,Barack Obama,115
Wyoming,Perry 3,President,,DEM,Barack Obama,201
Wyoming,Perry 4,President,,DEM,Barack Obama,192
Wyoming,Pike 1,President,,DEM,Barack Obama,120
Wyoming,Sheldon 1,President,,DEM,Barack Obama,84
Wyoming,Sheldon 2,President,,DEM,Barack Obama,144
Wyoming,Sheldon 3,President,,DEM,Barack Obama,115
Wyoming,Warsaw 1,President,,DEM,Barack Obama,118
Wyoming,Warsaw 2,President,,DEM,Barack Obama,142
Wyoming,Warsaw 3,President,,DEM,Barack Obama,146
Wyoming,Warsaw 4,President,,DEM,Barack Obama,153
Wyoming,Warsaw 5,President,,DEM,Barack Obama,185
Wyoming,Wethersfield 1,President,,DEM,Barack Obama,110
Wyoming,Total,President,,DEM,Barack Obama,5357
Wyoming,Arcade 1,President,,REP,Mitt Romney,267
Wyoming,Arcade 2,President,,REP,Mitt Romney,180
Wyoming,Arcade 3,President,,REP,Mitt Romney,175
Wyoming,Arcade 4,President,,REP,Mitt Romney,285
Wyoming,Attica 1,President,,REP,Mitt Romney,264
Wyoming,Attica 2,President,,REP,Mitt Romney,201
Wyoming,Attica 3,President,,REP,Mitt Romney,278
Wyoming,Attica 4,President,,REP,Mitt Romney,328
Wyoming,Bennington 1,President,,REP,Mitt Romney,251
Wyoming,Bennington 2,President,,REP,Mitt Romney,328
Wyoming,Bennington 3,President,,REP,Mitt Romney,314
Wyoming,Castile 1,President,,REP,Mitt Romney,228
Wyoming,Castile 2,President,,REP,Mitt Romney,256
Wyoming,Castile 3,President,,REP,Mitt Romney,176
Wyoming,Covington 1,President,,REP,Mitt Romney,320
Wyoming,Eagle 1,President,,REP,Mitt Romney,293
Wyoming,Gainesville 1,President,,REP,Mitt Romney,157
Wyoming,Gainesville 2,President,,REP,Mitt Romney,109
Wyoming,Gainesville 3,President,,REP,Mitt Romney,112
Wyoming,Gainesville 4,President,,REP,Mitt Romney,135
Wyoming,Genesee Falls 1,President,,REP,Mitt Romney,115
Wyoming,Java 1,President,,REP,Mitt Romney,327
Wyoming,Java 2,President,,REP,Mitt Romney,287
Wyoming,Middlebury 1,President,,REP,Mitt Romney,255
Wyoming,Middlebury 2,President,,REP,Mitt Romney,142
Wyoming,Orangeville 1,President,,REP,Mitt Romney,362
Wyoming,Perry 1,President,,REP,Mitt Romney,346
Wyoming,Perry 2,President,,REP,Mitt Romney,133
Wyoming,Perry 3,President,,REP,Mitt Romney,198
Wyoming,Perry 4,President,,REP,Mitt Romney,203
Wyoming,Pike 1,President,,REP,Mitt Romney,258
Wyoming,Sheldon 1,President,,REP,Mitt Romney,146
Wyoming,Sheldon 2,President,,REP,Mitt Romney,325
Wyoming,Sheldon 3,President,,REP,Mitt Romney,215
Wyoming,Warsaw 1,President,,REP,Mitt Romney,200
Wyoming,Warsaw 2,President,,REP,Mitt Romney,176
Wyoming,Warsaw 3,President,,REP,Mitt Romney,222
Wyoming,Warsaw 4,President,,REP,Mitt Romney,199
Wyoming,Warsaw 5,President,,REP,Mitt Romney,274
Wyoming,Wethersfield 1,President,,REP,Mitt Romney,208
Wyoming,Total,President,,REP,Mitt Romney,9248
Wyoming,Arcade 1,President,,CON,Mitt Romney,26
Wyoming,Arcade 2,President,,CON,Mitt Romney,28
Wyoming,Arcade 3,President,,CON,Mitt Romney,27
Wyoming,Arcade 4,President,,CON,Mitt Romney,32
Wyoming,Attica 1,President,,CON,Mitt Romney,26
Wyoming,Attica 2,President,,CON,Mitt Romney,13
Wyoming,Attica 3,President,,CON,Mitt Romney,24
Wyoming,Attica 4,President,,CON,Mitt Romney,46
Wyoming,Bennington 1,President,,CON,Mitt Romney,52
Wyoming,Bennington 2,President,,CON,Mitt Romney,47
Wyoming,Bennington 3,President,,CON,Mitt Romney,59
Wyoming,Castile 1,President,,CON,Mitt Romney,23
Wyoming,Castile 2,President,,CON,Mitt Romney,26
Wyoming,Castile 3,President,,CON,Mitt Romney,17
Wyoming,Covington 1,President,,CON,Mitt Romney,22
Wyoming,Eagle 1,President,,CON,Mitt Romney,27
Wyoming,Gainesville 1,President,,CON,Mitt Romney,8
Wyoming,Gainesville 2,President,,CON,Mitt Romney,13
Wyoming,Gainesville 3,President,,CON,Mitt Romney,11
Wyoming,Gainesville 4,President,,CON,Mitt Romney,9
Wyoming,Genesee Falls 1,President,,CON,Mitt Romney,7
Wyoming,Java 1,President,,CON,Mitt Romney,42
Wyoming,Java 2,President,,CON,Mitt Romney,43
Wyoming,Middlebury 1,President,,CON,Mitt Romney,30
Wyoming,Middlebury 2,President,,CON,Mitt Romney,20
Wyoming,Orangeville 1,President,,CON,Mitt Romney,43
Wyoming,Perry 1,President,,CON,Mitt Romney,38
Wyoming,Perry 2,President,,CON,Mitt Romney,18
Wyoming,Perry 3,President,,CON,Mitt Romney,24
Wyoming,Perry 4,President,,CON,Mitt Romney,19
Wyoming,Pike 1,President,,CON,Mitt Romney,31
Wyoming,Sheldon 1,President,,CON,Mitt Romney,26
Wyoming,Sheldon 2,President,,CON,Mitt Romney,53
Wyoming,Sheldon 3,President,,CON,Mitt Romney,39
Wyoming,Warsaw 1,President,,CON,Mitt Romney,19
Wyoming,Warsaw 2,President,,CON,Mitt Romney,20
Wyoming,Warsaw 3,President,,CON,Mitt Romney,22
Wyoming,Warsaw 4,President,,CON,Mitt Romney,30
Wyoming,Warsaw 5,President,,CON,Mitt Romney,24
Wyoming,Wethersfield 1,President,,CON,Mitt Romney,16
Wyoming,Total,President,,CON,Mitt Romney,1100
Wyoming,Arcade 1,President,,WOR,Barack Obama,14
Wyoming,Arcade 2,President,,WOR,Barack Obama,5
Wyoming,Arcade 3,President,,WOR,Barack Obama,2
Wyoming,Arcade 4,President,,WOR,Barack Obama,4
Wyoming,Attica 1,President,,WOR,Barack Obama,7
Wyoming,Attica 2,President,,WOR,Barack Obama,8
Wyoming,Attica 3,President,,WOR,Barack Obama,10
Wyoming,Attica 4,President,,WOR,Barack Obama,9
Wyoming,Bennington 1,President,,WOR,Barack Obama,15
Wyoming,Bennington 2,President,,WOR,Barack Obama,13
Wyoming,Bennington 3,President,,WOR,Barack Obama,11
Wyoming,Castile 1,President,,WOR,Barack Obama,7
Wyoming,Castile 2,President,,WOR,Barack Obama,10
Wyoming,Castile 3,President,,WOR,Barack Obama,6
Wyoming,Covington 1,President,,WOR,Barack Obama,7
Wyoming,Eagle 1,President,,WOR,Barack Obama,13
Wyoming,Gainesville 1,President,,WOR,Barack Obama,4
Wyoming,Gainesville 2,President,,WOR,Barack Obama,5
Wyoming,Gainesville 3,President,,WOR,Barack Obama,3
Wyoming,Gainesville 4,President,,WOR,Barack Obama,5
Wyoming,Genesee Falls 1,President,,WOR,Barack Obama,2
Wyoming,Java 1,President,,WOR,Barack Obama,9
Wyoming,Java 2,President,,WOR,Barack Obama,8
Wyoming,Middlebury 1,President,,WOR,Barack Obama,5
Wyoming,Middlebury 2,President,,WOR,Barack Obama,1
Wyoming,Orangeville 1,President,,WOR,Barack Obama,14
Wyoming,Perry 1,President,,WOR,Barack Obama,6
Wyoming,Perry 2,President,,WOR,Barack Obama,5
Wyoming,Perry 3,President,,WOR,Barack Obama,11
Wyoming,Perry 4,President,,WOR,Barack Obama,14
Wyoming,Pike 1,President,,WOR,Barack Obama,7
Wyoming,Sheldon 1,President,,WOR,Barack Obama,10
Wyoming,Sheldon 2,President,,WOR,Barack Obama,6
Wyoming,Sheldon 3,President,,WOR,Barack Obama,6
Wyoming,Warsaw 1,President,,WOR,Barack Obama,5
Wyoming,Warsaw 2,President,,WOR,Barack Obama,7
Wyoming,Warsaw 3,President,,WOR,Barack Obama,12
Wyoming,Warsaw 4,President,,WOR,Barack Obama,5
Wyoming,Warsaw 5,President,,WOR,Barack Obama,5
Wyoming,Wethersfield 1,President,,WOR,Barack Obama,8
Wyoming,Total,President,,WOR,Barack Obama,304
Wyoming,Arcade 1,President,,GRE,Jill Stein,2
Wyoming,Arcade 2,President,,GRE,Jill Stein,3
Wyoming,Arcade 3,President,,GRE,Jill Stein,2
Wyoming,Arcade 4,President,,GRE,Jill Stein,1
Wyoming,Attica 1,President,,GRE,Jill Stein,1
Wyoming,Attica 2,President,,GRE,Jill Stein,1
Wyoming,Attica 3,President,,GRE,Jill Stein,0
Wyoming,Attica 4,President,,GRE,Jill Stein,0
Wyoming,Bennington 1,President,,GRE,Jill Stein,2
Wyoming,Bennington 2,President,,GRE,Jill Stein,4
Wyoming,Bennington 3,President,,GRE,Jill Stein,3
Wyoming,Castile 1,President,,GRE,Jill Stein,4
Wyoming,Castile 2,President,,GRE,Jill Stein,9
Wyoming,Castile 3,President,,GRE,Jill Stein,0
Wyoming,Covington 1,President,,GRE,Jill Stein,2
Wyoming,Eagle 1,President,,GRE,Jill Stein,1
Wyoming,Gainesville 1,President,,GRE,Jill Stein,2
Wyoming,Gainesville 2,President,,GRE,Jill Stein,1
Wyoming,Gainesville 3,President,,GRE,Jill Stein,2
Wyoming,Gainesville 4,President,,GRE,Jill Stein,2
Wyoming,Genesee Falls 1,President,,GRE,Jill Stein,1
Wyoming,Java 1,President,,GRE,Jill Stein,2
Wyoming,Java 2,President,,GRE,Jill Stein,6
Wyoming,Middlebury 1,President,,GRE,Jill Stein,5
Wyoming,Middlebury 2,President,,GRE,Jill Stein,2
Wyoming,Orangeville 1,President,,GRE,Jill Stein,2
Wyoming,Perry 1,President,,GRE,Jill Stein,3
Wyoming,Perry 2,President,,GRE,Jill Stein,2
Wyoming,Perry 3,President,,GRE,Jill Stein,2
Wyoming,Perry 4,President,,GRE,Jill Stein,5
Wyoming,Pike 1,President,,GRE,Jill Stein,1
Wyoming,Sheldon 1,President,,GRE,Jill Stein,3
Wyoming,Sheldon 2,President,,GRE,Jill Stein,4
Wyoming,Sheldon 3,President,,GRE,Jill Stein,6
Wyoming,Warsaw 1,President,,GRE,Jill Stein,5
Wyoming,Warsaw 2,President,,GRE,Jill Stein,0
Wyoming,Warsaw 3,President,,GRE,Jill Stein,1
Wyoming,Warsaw 4,President,,GRE,Jill Stein,1
Wyoming,Warsaw 5,President,,GRE,Jill Stein,0
Wyoming,Wethersfield 1,President,,GRE,Jill Stein,3
Wyoming,Total,President,,GRE,Jill Stein,96
Wyoming,Arcade 1,President,,SLP,Peta Lindsay,0
Wyoming,Arcade 2,President,,SLP,Peta Lindsay,0
Wyoming,Arcade 3,President,,SLP,Peta Lindsay,0
Wyoming,Arcade 4,President,,SLP,Peta Lindsay,0
Wyoming,Attica 1,President,,SLP,Peta Lindsay,0
Wyoming,Attica 2,President,,SLP,Peta Lindsay,0
Wyoming,Attica 3,President,,SLP,Peta Lindsay,0
Wyoming,Attica 4,President,,SLP,Peta Lindsay,1
Wyoming,Bennington 1,President,,SLP,Peta Lindsay,1
Wyoming,Bennington 2,President,,SLP,Peta Lindsay,0
Wyoming,Bennington 3,President,,SLP,Peta Lindsay,0
Wyoming,Castile 1,President,,SLP,Peta Lindsay,0
Wyoming,Castile 2,President,,SLP,Peta Lindsay,0
Wyoming,Castile 3,President,,SLP,Peta Lindsay,0
Wyoming,Covington 1,President,,SLP,Peta Lindsay,1
Wyoming,Eagle 1,President,,SLP,Peta Lindsay,0
Wyoming,Gainesville 1,President,,SLP,Peta Lindsay,0
Wyoming,Gainesville 2,President,,SLP,Peta Lindsay,0
Wyoming,Gainesville 3,President,,SLP,Peta Lindsay,0
Wyoming,Gainesville 4,President,,SLP,Peta Lindsay,0
Wyoming,Genesee Falls 1,President,,SLP,Peta Lindsay,0
Wyoming,Java 1,President,,SLP,Peta Lindsay,0
Wyoming,Java 2,President,,SLP,Peta Lindsay,0
Wyoming,Middlebury 1,President,,SLP,Peta Lindsay,1
Wyoming,Middlebury 2,President,,SLP,Peta Lindsay,0
Wyoming,Orangeville 1,President,,SLP,Peta Lindsay,1
Wyoming,Perry 1,President,,SLP,Peta Lindsay,0
Wyoming,Perry 2,President,,SLP,Peta Lindsay,0
Wyoming,Perry 3,President,,SLP,Peta Lindsay,0
Wyoming,Perry 4,President,,SLP,Peta Lindsay,0
Wyoming,Pike 1,President,,SLP,Peta Lindsay,0
Wyoming,Sheldon 1,President,,SLP,Peta Lindsay,0
Wyoming,Sheldon 2,President,,SLP,Peta Lindsay,0
Wyoming,Sheldon 3,President,,SLP,Peta Lindsay,0
Wyoming,Warsaw 1,President,,SLP,Peta Lindsay,0
Wyoming,Warsaw 2,President,,SLP,Peta Lindsay,0
Wyoming,Warsaw 3,President,,SLP,Peta Lindsay,0
Wyoming,Warsaw 4,President,,SLP,Peta Lindsay,1
Wyoming,Warsaw 5,President,,SLP,Peta Lindsay,0
Wyoming,Wethersfield 1,President,,SLP,Peta Lindsay,0
Wyoming,Total,President,,SLP,Peta Lindsay,6
Wyoming,Arcade 1,President,,LIB,Gary Johnson,1
Wyoming,Arcade 2,President,,LIB,Gary Johnson,1
Wyoming,Arcade 3,President,,LIB,Gary Johnson,2
Wyoming,Arcade 4,President,,LIB,Gary Johnson,3
Wyoming,Attica 1,President,,LIB,Gary Johnson,6
Wyoming,Attica 2,President,,LIB,Gary Johnson,2
Wyoming,Attica 3,President,,LIB,Gary Johnson,5
Wyoming,Attica 4,President,,LIB,Gary Johnson,3
Wyoming,Bennington 1,President,,LIB,Gary Johnson,6
Wyoming,Bennington 2,President,,LIB,Gary Johnson,3
