county,precinct,office,district,candidate,party,votes
Kings,001/41,Governor,,Public Counter,Democratic,44
Kings,001/41,Governor,,Emergency,Democratic,0
Kings,001/41,Governor,,Absentee/Military,Democratic,3
Kings,001/41,Governor,,Federal,Democratic,0
Kings,001/41,Governor,,Affidavit,Democratic,0
Kings,001/41,Governor,,Zephyr R. Teachout,Democratic,20
Kings,001/41,Governor,,Andrew M. Cuomo,Democratic,27
Kings,001/41,Governor,,Randy A. Credico,Democratic,0
Kings,002/41,Governor,,Public Counter,Democratic,74
Kings,002/41,Governor,,Emergency,Democratic,0
Kings,002/41,Governor,,Absentee/Military,Democratic,4
Kings,002/41,Governor,,Federal,Democratic,0
Kings,002/41,Governor,,Affidavit,Democratic,1
Kings,002/41,Governor,,Zephyr R. Teachout,Democratic,18
Kings,002/41,Governor,,Andrew M. Cuomo,Democratic,59
Kings,002/41,Governor,,Randy A. Credico,Democratic,1
Kings,003/41,Governor,,Public Counter,Democratic,25
Kings,003/41,Governor,,Emergency,Democratic,0
Kings,003/41,Governor,,Absentee/Military,Democratic,1
Kings,003/41,Governor,,Federal,Democratic,0
Kings,003/41,Governor,,Affidavit,Democratic,0
Kings,003/41,Governor,,Zephyr R. Teachout,Democratic,7
Kings,003/41,Governor,,Andrew M. Cuomo,Democratic,17
Kings,003/41,Governor,,Randy A. Credico,Democratic,1
Kings,003/41,Governor,,Scattered,Democratic,1
Kings,004/41,Governor,,Public Counter,Democratic,37
Kings,004/41,Governor,,Emergency,Democratic,0
Kings,004/41,Governor,,Absentee/Military,Democratic,4
Kings,004/41,Governor,,Federal,Democratic,0
Kings,004/41,Governor,,Affidavit,Democratic,0
Kings,004/41,Governor,,Zephyr R. Teachout,Democratic,16
Kings,004/41,Governor,,Andrew M. Cuomo,Democratic,21
Kings,004/41,Governor,,Randy A. Credico,Democratic,1
Kings,004/41,Governor,,Scattered,Democratic,2
Kings,005/41,Governor,,Public Counter,Democratic,44
Kings,005/41,Governor,,Emergency,Democratic,0
Kings,005/41,Governor,,Absentee/Military,Democratic,4
Kings,005/41,Governor,,Federal,Democratic,0
Kings,005/41,Governor,,Affidavit,Democratic,0
Kings,005/41,Governor,,Zephyr R. Teachout,Democratic,8
Kings,005/41,Governor,,Andrew M. Cuomo,Democratic,38
Kings,005/41,Governor,,Randy A. Credico,Democratic,1
Kings,005/41,Governor,,Scattered,Democratic,1
Kings,006/41,Governor,,Public Counter,Democratic,29
Kings,006/41,Governor,,Emergency,Democratic,0
Kings,006/41,Governor,,Absentee/Military,Democratic,3
Kings,006/41,Governor,,Federal,Democratic,0
Kings,006/41,Governor,,Affidavit,Democratic,0
Kings,006/41,Governor,,Zephyr R. Teachout,Democratic,7
Kings,006/41,Governor,,Andrew M. Cuomo,Democratic,23
Kings,006/41,Governor,,Randy A. Credico,Democratic,2
Kings,007/41,Governor,,Public Counter,Democratic,37
Kings,007/41,Governor,,Emergency,Democratic,0
Kings,007/41,Governor,,Absentee/Military,Democratic,1
Kings,007/41,Governor,,Federal,Democratic,0
Kings,007/41,Governor,,Affidavit,Democratic,0
Kings,007/41,Governor,,Zephyr R. Teachout,Democratic,9
Kings,007/41,Governor,,Andrew M. Cuomo,Democratic,25
Kings,007/41,Governor,,Randy A. Credico,Democratic,3
Kings,008/41,Governor,,Public Counter,Democratic,51
Kings,008/41,Governor,,Emergency,Democratic,0
Kings,008/41,Governor,,Absentee/Military,Democratic,3
Kings,008/41,Governor,,Federal,Democratic,0
Kings,008/41,Governor,,Affidavit,Democratic,2
Kings,008/41,Governor,,Zephyr R. Teachout,Democratic,7
