county,office,district,party,candidate,votes
Kings,State Senate,19,DEM,Roxanne J. Persaud,7380
Kings,State Senate,19,REP,Jeffrey J. Ferretti,779
Kings,State Senate,19,CON,Elias J. Weir,278
Kings,State Senate,19,IND,Roxanne J. Persaud,72
Kings,State Senate,19,WEP,Roxanne J. Persaud,94
Kings,State Senate,19,,Blank,561
Kings,State Senate,19,,Void,0
Kings,State Senate,19,,Scattering,16
Kings,State Senate,19,,BVS Subtotal,577
Kings,State Senate,19,,Total,9180
Broome,State Senate,52,DEM,Barbara J. Fiala,8539
Broome,State Senate,52,REP,"Frederick J. Akshar, II",25566
Broome,State Senate,52,CON,"Frederick J. Akshar, II",2724
Broome,State Senate,52,WOR,Barbara J. Fiala,856
Broome,State Senate,52,IND,"Frederick J. Akshar, II",2758
Broome,State Senate,52,,Blank,610
Broome,State Senate,52,,Void,28
Broome,State Senate,52,,Scattering,529
Broome,State Senate,52,,BVS Subtotal,1167
Broome,State Senate,52,,Total,41610
Tioga,State Senate,52,DEM,Barbara J. Fiala,1422
Tioga,State Senate,52,REP,"Frederick J. Akshar, II",6281
Tioga,State Senate,52,CON,"Frederick J. Akshar, II",499
Tioga,State Senate,52,WOR,Barbara J. Fiala,139
Tioga,State Senate,52,IND,"Frederick J. Akshar, II",443
Tioga,State Senate,52,,Blank,210
Tioga,State Senate,52,,Void,0
Tioga,State Senate,52,,Scattering,74
Tioga,State Senate,52,,BVS Subtotal,284
Tioga,State Senate,52,,Total,9068
Chenango,State Senate,52,DEM,Barbara J. Fiala,1132
Chenango,State Senate,52,REP,"Frederick J. Akshar, II",5022
Chenango,State Senate,52,CON,"Frederick J. Akshar, II",475
Chenango,State Senate,52,WOR,Barbara J. Fiala,119
Chenango,State Senate,52,IND,"Frederick J. Akshar, II",478
Chenango,State Senate,52,,Blank,242
Chenango,State Senate,52,,Void,3
Chenango,State Senate,52,,Scattering,25
Chenango,State Senate,52,,BVS Subtotal,270
Chenango,State Senate,52,,Total,7496
Delaware,State Senate,52,DEM,Barbara J. Fiala,116
Delaware,State Senate,52,REP,"Frederick J. Akshar, II",781
Delaware,State Senate,52,CON,"Frederick J. Akshar, II",56
Delaware,State Senate,52,WOR,Barbara J. Fiala,20
Delaware,State Senate,52,IND,"Frederick J. Akshar, II",74
Delaware,State Senate,52,,Blank,41
Delaware,State Senate,52,,Void,1
Delaware,State Senate,52,,Scattering,2
Delaware,State Senate,52,,BVS Subtotal,44
Delaware,State Senate,52,,Total,1091
Total,State Senate,52,DEM,Barbara J. Fiala,11209
Total,State Senate,52,REP,"Frederick J. Akshar, II",37650
Total,State Senate,52,CON,"Frederick J. Akshar, II",3754
Total,State Senate,52,WOR,Barbara J. Fiala,1134
Total,State Senate,52,IND,"Frederick J. Akshar, II",3753
Total,State Senate,52,,Blank,1103
Total,State Senate,52,,Void,32
Total,State Senate,52,,Scattering,630
Total,State Senate,52,,BVS Subtotal,1765
Total,State Senate,52,,Total,59265
Queens,State Assembly,29,DEM,Alicia L. Hyndman,4045
Queens,State Assembly,29,REP,Scherie S. Murray,281
Queens,State Assembly,29,REF,Scherie S. Murray,31
Queens,State Assembly,29,,Blank,106
Queens,State Assembly,29,,Void,0
Queens,State Assembly,29,,Scattering,71
Queens,State Assembly,29,,BVS Subtotal,177
Queens,State Assembly,29,,Total,4534
Kings,State Assembly,46,DEM,Pamela Harris,4302
Kings,State Assembly,46,REP,Lucretia Regina-Potter,1988
Kings,State Assembly,46,CON,Lucretia Regina-Potter,570
Kings,State Assembly,46,WOR,Pamela Harris,293
Kings,State Assembly,46,IND,Lucretia Regina-Potter,113
Kings,State Assembly,46,PCP,Lucretia Regina-Potter,36
Kings,State Assembly,46,,Blank,155
Kings,State Assembly,46,,Void,0
Kings,State Assembly,46,,Scattering,40
Kings,State Assembly,46,,BVS Subtotal,195
Kings,State Assembly,46,,Total,7497
Onondaga,State Assembly,128,DEM,Pamela J. Hunter,10730
Onondaga,State Assembly,128,REP,John W. Sharon,6309
Onondaga,State Assembly,128,CON,David M. Stott,2111
Onondaga,State Assembly,128,IND,John W. Sharon,743
Onondaga,State Assembly,128,REF,John W. Sharon,78
Onondaga,State Assembly,128,,Blank,1100
Onondaga,State Assembly,128,,Void,0
Onondaga,State Assembly,128,,Scattering,19
Onondaga,State Assembly,128,,BVS Subtotal,1119
Onondaga,State Assembly,128,,Total,21090
