county,precinct,office,district,candidate,party,votes
Queens,001/23,President,NYC,Public Counter,,142
Queens,001/23,President,NYC,Emergency,,0
Queens,001/23,President,NYC,Absentee/Military,,8
Queens,001/23,President,NYC,Federal,,0
Queens,001/23,President,NYC,Affidavit,,2
Queens,001/23,President,NYC,,,108
Queens,001/23,President,NYC,,,42
Queens,002/23,President,NYC,Public Counter,,122
Queens,002/23,President,NYC,Emergency,,0
Queens,002/23,President,NYC,Absentee/Military,,0
Queens,002/23,President,NYC,Federal,,0
Queens,002/23,President,NYC,Affidavit,,4
Queens,002/23,President,NYC,,,87
Queens,002/23,President,NYC,,,39
Queens,003/23,President,NYC,Public Counter,,129
Queens,003/23,President,NYC,Emergency,,0
Queens,003/23,President,NYC,Absentee/Military,,3
Queens,003/23,President,NYC,Federal,,0
Queens,003/23,President,NYC,Affidavit,,0
Queens,003/23,President,NYC,,,89
Queens,003/23,President,NYC,,,42
Queens,004/23,President,NYC,Public Counter,,33
Queens,004/23,President,NYC,Emergency,,0
Queens,004/23,President,NYC,Absentee/Military,,0
Queens,004/23,President,NYC,Federal,,0
Queens,004/23,President,NYC,Affidavit,,0
Queens,004/23,President,NYC,,,27
Queens,004/23,President,NYC,,,6
Queens,005/23,President,NYC,Public Counter,,158
Queens,005/23,President,NYC,Emergency,,0
Queens,005/23,President,NYC,Absentee/Military,,6
Queens,005/23,President,NYC,Federal,,1
Queens,005/23,President,NYC,Affidavit,,1
Queens,005/23,President,NYC,,,79
Queens,005/23,President,NYC,,,87
Queens,006/23,President,NYC,Public Counter,,197
Queens,006/23,President,NYC,Emergency,,0
Queens,006/23,President,NYC,Absentee/Military,,4
Queens,006/23,President,NYC,Federal,,3
Queens,006/23,President,NYC,Affidavit,,1
Queens,006/23,President,NYC,,,94
Queens,006/23,President,NYC,,,109
Queens,007/23,President,NYC,Public Counter,,188
Queens,007/23,President,NYC,Emergency,,0
Queens,007/23,President,NYC,Absentee/Military,,7
Queens,007/23,President,NYC,Federal,,2
Queens,007/23,President,NYC,Affidavit,,1
Queens,007/23,President,NYC,,,90
Queens,007/23,President,NYC,,,104
Queens,008/23,President,NYC,Public Counter,,156
Queens,008/23,President,NYC,Emergency,,0
Queens,008/23,President,NYC,Absentee/Military,,9
Queens,008/23,President,NYC,Federal,,5
Queens,008/23,President,NYC,Affidavit,,4
Queens,008/23,President,NYC,,,104
Queens,008/23,President,NYC,,,69
Queens,009/23,President,NYC,Public Counter,,180
Queens,009/23,President,NYC,Emergency,,0
Queens,009/23,President,NYC,Absentee/Military,,29
Queens,009/23,President,NYC,Federal,,1
Queens,009/23,President,NYC,Affidavit,,3
Queens,009/23,President,NYC,,,102
Queens,010/23,President,NYC,Public Counter,,178
Queens,010/23,President,NYC,Emergency,,0
Queens,010/23,President,NYC,Absentee/Military,,5
Queens,010/23,President,NYC,Federal,,3
Queens,010/23,President,NYC,Affidavit,,7
Queens,010/23,President,NYC,,,108
Queens,010/23,President,NYC,,,80
Queens,011/23,President,NYC,Public Counter,,191
Queens,011/23,President,NYC,Emergency,,0
Queens,011/23,President,NYC,Absentee/Military,,20
Queens,011/23,President,NYC,Federal,,1
Queens,011/23,President,NYC,Affidavit,,3
Queens,011/23,President,NYC,,,117
Queens,011/23,President,NYC,,,96
Queens,012/23,President,NYC,Public Counter,,82
Queens,012/23,President,NYC,Emergency,,0
Queens,012/23,President,NYC,Absentee/Military,,54
Queens,012/23,President,NYC,Federal,,1
Queens,012/23,President,NYC,Affidavit,,4
Queens,012/23,President,NYC,,,48
Queens,012/23,President,NYC,,,91
Queens,013/23,President,NYC,Public Counter,,147
Queens,013/23,President,NYC,Emergency,,0
Queens,013/23,President,NYC,Absentee/Military,,1
Queens,013/23,President,NYC,Federal,,0
Queens,013/23,President,NYC,Affidavit,,2
Queens,013/23,President,NYC,,,82
Queens,013/23,President,NYC,,,67
Queens,014/23,President,NYC,Public Counter,,234
Queens,014/23,President,NYC,Emergency,,0
Queens,014/23,President,NYC,Absentee/Military,,3
Queens,014/23,President,NYC,Federal,,0
Queens,014/23,President,NYC,Affidavit,,5
Queens,014/23,President,NYC,,,116
Queens,014/23,President,NYC,,,124
Queens,015/23,President,NYC,Public Counter,,158
Queens,015/23,President,NYC,Emergency,,0
Queens,015/23,President,NYC,Absentee/Military,,1
Queens,015/23,President,NYC,Federal,,0
Queens,015/23,President,NYC,Affidavit,,2
Queens,015/23,President,NYC,,,46
Queens,015/23,President,NYC,,,108
Queens,016/23,President,NYC,Public Counter,,147
Queens,016/23,President,NYC,Emergency,,0
Queens,016/23,President,NYC,Absentee/Military,,0
Queens,016/23,President,NYC,Federal,,0
Queens,016/23,President,NYC,Affidavit,,1
Queens,016/23,President,NYC,,,43
Queens,016/23,President,NYC,,,103
Queens,017/23,President,NYC,Public Counter,,167
Queens,017/23,President,NYC,Emergency,,0
Queens,017/23,President,NYC,Absentee/Military,,3
Queens,017/23,President,NYC,Federal,,0
Queens,017/23,President,NYC,Affidavit,,1
Queens,017/23,President,NYC,,,67
Queens,017/23,President,NYC,,,103
Queens,018/23,President,NYC,Public Counter,,151
Queens,018/23,President,NYC,Emergency,,0
Queens,018/23,President,NYC,Absentee/Military,,1
Queens,018/23,President,NYC,Federal,,0
Queens,018/23,President,NYC,Affidavit,,3
Queens,018/23,President,NYC,,,52
Queens,018/23,President,NYC,,,101
Queens,019/23,President,NYC,Public Counter,,216
Queens,019/23,President,NYC,Emergency,,0
Queens,019/23,President,NYC,Absentee/Military,,42
Queens,019/23,President,NYC,Federal,,0
Queens,019/23,President,NYC,Affidavit,,4
Queens,019/23,President,NYC,,,102
Queens,019/23,President,NYC,,,158
Queens,020/23,President,NYC,Public Counter,,0
Queens,020/23,President,NYC,Emergency,,0
Queens,020/23,President,NYC,Absentee/Military,,0
Queens,020/23,President,NYC,Federal,,0
Queens,020/23,President,NYC,Affidavit,,0
Queens,020/23,President,NYC,,,0
Queens,021/23,President,NYC,Public Counter,,95
Queens,021/23,President,NYC,Emergency,,0
Queens,021/23,President,NYC,Absentee/Military,,2
Queens,021/23,President,NYC,Federal,,0
Queens,021/23,President,NYC,Affidavit,,4
Queens,021/23,President,NYC,,,38
Queens,021/23,President,NYC,,,63
Queens,022/23,President,NYC,Public Counter,,0
Queens,022/23,President,NYC,Emergency,,0
Queens,022/23,President,NYC,Absentee/Military,,0
Queens,022/23,President,NYC,Federal,,0
Queens,022/23,President,NYC,Affidavit,,0
Queens,023/23,President,NYC,Public Counter,,106
Queens,023/23,President,NYC,Emergency,,0
Queens,023/23,President,NYC,Absentee/Military,,0
Queens,023/23,President,NYC,Federal,,0
Queens,023/23,President,NYC,Affidavit,,1
Queens,023/23,President,NYC,,,27
Queens,023/23,President,NYC,,,76
Queens,024/23,President,NYC,Public Counter,,214
Queens,024/23,President,NYC,Emergency,,0
Queens,024/23,President,NYC,Absentee/Military,,4
Queens,024/23,President,NYC,Federal,,0
Queens,024/23,President,NYC,Affidavit,,6
Queens,024/23,President,NYC,,,59
Queens,024/23,President,NYC,,,162
Queens,025/23,President,NYC,Public Counter,,152
Queens,025/23,President,NYC,Emergency,,0
Queens,025/23,President,NYC,Absentee/Military,,15
Queens,025/23,President,NYC,Federal,,1
Queens,025/23,President,NYC,Affidavit,,4
Queens,025/23,President,NYC,,,48
Queens,025/23,President,NYC,,,121
Queens,026/23,President,NYC,Public Counter,,222
Queens,026/23,President,NYC,Emergency,,0
Queens,026/23,President,NYC,Absentee/Military,,2
Queens,026/23,President,NYC,Federal,,0
Queens,026/23,President,NYC,Affidavit,,15
Queens,026/23,President,NYC,,,61
Queens,026/23,President,NYC,,,176
Queens,027/23,President,NYC,Public Counter,,111
Queens,027/23,President,NYC,Emergency,,0
Queens,027/23,President,NYC,Absentee/Military,,0
Queens,027/23,President,NYC,Federal,,1
Queens,027/23,President,NYC,Affidavit,,1
Queens,027/23,President,NYC,,,47
Queens,027/23,President,NYC,,,59
Queens,028/23,President,NYC,Public Counter,,97
Queens,028/23,President,NYC,Emergency,,0
Queens,028/23,President,NYC,Absentee/Military,,26
Queens,028/23,President,NYC,Federal,,4
Queens,028/23,President,NYC,Affidavit,,3
Queens,028/23,President,NYC,,,46
Queens,028/23,President,NYC,,,82
Queens,029/23,President,NYC,Public Counter,,177
Queens,029/23,President,NYC,Emergency,,0
Queens,029/23,President,NYC,Absentee/Military,,33
Queens,029/23,President,NYC,Federal,,0
Queens,029/23,President,NYC,Affidavit,,6
Queens,029/23,President,NYC,,,56
Queens,029/23,President,NYC,,,157
Queens,030/23,President,NYC,Public Counter,,203
Queens,030/23,President,NYC,Emergency,,0
Queens,030/23,President,NYC,Absentee/Military,,44
Queens,030/23,President,NYC,Federal,,0
Queens,030/23,President,NYC,Affidavit,,7
Queens,030/23,President,NYC,,,74
Queens,030/23,President,NYC,,,177
Queens,031/23,President,NYC,Public Counter,,191
Queens,031/23,President,NYC,Emergency,,0
Queens,031/23,President,NYC,Absentee/Military,,31
Queens,031/23,President,NYC,Federal,,0
Queens,031/23,President,NYC,Affidavit,,3
Queens,031/23,President,NYC,,,61
