county,precinct,office,district,candidate,party,election_day,absentee,votes
Columbia,Greenport-1,U.S. House,19,BRIAN FLYNN,Democratic,1,0,1
Columbia,Greenport-3,U.S. House,19,BRIAN FLYNN,Democratic,8,0,8
Columbia,Hudson 5-1,U.S. House,19,BRIAN FLYNN,Democratic,9,0,9
Columbia,Kinderhook-6,U.S. House,19,BRIAN FLYNN,Democratic,4,0,4
Columbia,Kinderhook-8,U.S. House,19,BRIAN FLYNN,Democratic,9,0,9
Columbia,Austerlitz-1,U.S. House,19,BRIAN FLYNN,Democratic,11,1,12
Columbia,Canaan-2,U.S. House,19,BRIAN FLYNN,Democratic,10,1,11
Columbia,Chatham-2,U.S. House,19,BRIAN FLYNN,Democratic,10,1,11
Columbia,Claverack-3,U.S. House,19,BRIAN FLYNN,Democratic,21,1,22
Columbia,Claverack-5,U.S. House,19,BRIAN FLYNN,Democratic,9,1,10
Columbia,Hudson 2-1,U.S. House,19,BRIAN FLYNN,Democratic,9,1,10
Columbia,Hudson 3-1,U.S. House,19,BRIAN FLYNN,Democratic,14,1,15
Columbia,Kinderhook-2,U.S. House,19,BRIAN FLYNN,Democratic,10,1,11
Columbia,Kinderhook-4,U.S. House,19,BRIAN FLYNN,Democratic,5,1,6
Columbia,Kinderhook-5,U.S. House,19,BRIAN FLYNN,Democratic,7,1,8
Columbia,Kinderhook-7,U.S. House,19,BRIAN FLYNN,Democratic,11,1,12
Columbia,Livingston-1,U.S. House,19,BRIAN FLYNN,Democratic,17,1,18
Columbia,Stockport-1,U.S. House,19,BRIAN FLYNN,Democratic,4,1,5
Columbia,Ancram-2,U.S. House,19,BRIAN FLYNN,Democratic,12,2,14
Columbia,Austerlitz-2,U.S. House,19,BRIAN FLYNN,Democratic,13,2,15
Columbia,Chatham-3,U.S. House,19,BRIAN FLYNN,Democratic,12,2,14
Columbia,Claverack-1,U.S. House,19,BRIAN FLYNN,Democratic,26,2,28
Columbia,Ghent-2,U.S. House,19,BRIAN FLYNN,Democratic,12,2,14
Columbia,Hudson 1-1,U.S. House,19,BRIAN FLYNN,Democratic,24,2,26
Columbia,Hudson 4-1,U.S. House,19,BRIAN FLYNN,Democratic,13,2,15
Columbia,Kinderhook-3,U.S. House,19,BRIAN FLYNN,Democratic,4,2,6
Columbia,New Lebanon-2,U.S. House,19,BRIAN FLYNN,Democratic,8,2,10
Columbia,Stockport-2,U.S. House,19,BRIAN FLYNN,Democratic,4,2,6
Columbia,Stuyvesant-1,U.S. House,19,BRIAN FLYNN,Democratic,4,2,6
Columbia,Stuyvesant-2,U.S. House,19,BRIAN FLYNN,Democratic,4,2,6
Columbia,Canaan-1,U.S. House,19,BRIAN FLYNN,Democratic,11,3,14
Columbia,Chatham-1,U.S. House,19,BRIAN FLYNN,Democratic,21,3,24
Columbia,Clermont-1,U.S. House,19,BRIAN FLYNN,Democratic,5,3,8
Columbia,Ghent-1,U.S. House,19,BRIAN FLYNN,Democratic,13,3,16
Columbia,New Lebanon-1,U.S. House,19,BRIAN FLYNN,Democratic,8,3,11
Columbia,Copake-2,U.S. House,19,BRIAN FLYNN,Democratic,6,4,10
Columbia,Gallatin-1,U.S. House,19,BRIAN FLYNN,Democratic,7,5,12
Columbia,Livingston-2,U.S. House,19,BRIAN FLYNN,Democratic,10,5,15
Columbia,Claverack-4,U.S. House,19,BRIAN FLYNN,Democratic,21,6,27
Columbia,Greenport-2,U.S. House,19,BRIAN FLYNN,Democratic,7,6,13
Columbia,Kinderhook-1,U.S. House,19,BRIAN FLYNN,Democratic,14,6,20
Columbia,Claverack-2,U.S. House,19,BRIAN FLYNN,Democratic,19,7,26
Columbia,Germantown-2,U.S. House,19,BRIAN FLYNN,Democratic,15,7,22
Columbia,Hillsdale-2,U.S. House,19,BRIAN FLYNN,Democratic,14,7,21
Columbia,Taghkanic-1,U.S. House,19,BRIAN FLYNN,Democratic,19,7,26
Columbia,Copake-1,U.S. House,19,BRIAN FLYNN,Democratic,10,9,19
Columbia,Ghent-3,U.S. House,19,BRIAN FLYNN,Democratic,8,9,17
Columbia,Germantown-1,U.S. House,19,BRIAN FLYNN,Democratic,23,10,33
Columbia,Ancram-1,U.S. House,19,BRIAN FLYNN,Democratic,14,11,25
Columbia,Hillsdale-1,U.S. House,19,BRIAN FLYNN,Democratic,32,13,45
Columbia,Austerlitz-2,U.S. House,19,ERIN COLLIER,Democratic,4,0,4
Columbia,Chatham-1,U.S. House,19,ERIN COLLIER,Democratic,7,0,7
Columbia,Claverack-1,U.S. House,19,ERIN COLLIER,Democratic,2,0,2
Columbia,Claverack-2,U.S. House,19,ERIN COLLIER,Democratic,1,0,1
Columbia,Claverack-3,U.S. House,19,ERIN COLLIER,Democratic,1,0,1
