county,precinct,office,district,party,candidate,votes,election_day,absentee_affidavit
Otsego,BURLINGTON 1 ,Governor,,DEM,Cynthia E. Nixon,17,17,0
Otsego,"BUTTERNUTS 1,2 ",Governor,,DEM,Cynthia E. Nixon,54,51,3
Otsego,CHERRY VALLEY 1 ,Governor,,DEM,Cynthia E. Nixon,56,52,4
Otsego,DECATUR 1 ,Governor,,DEM,Cynthia E. Nixon,5,5,0
Otsego,EDMESTON 1 ,Governor,,DEM,Cynthia E. Nixon,32,32,0
Otsego,EXETER 1 ,Governor,,DEM,Cynthia E. Nixon,15,15,0
Otsego,"HARTWICK 1,2 ",Governor,,DEM,Cynthia E. Nixon,65,62,3
Otsego,"LAURENS 1,2 ",Governor,,DEM,Cynthia E. Nixon,62,61,1
Otsego,"MARYLAND 1,2 ",Governor,,DEM,Cynthia E. Nixon,35,32,3
Otsego,"MIDDLEFIELD 1,2 ",Governor,,DEM,Cynthia E. Nixon,85,77,8
Otsego,"MILFORD 1,2 ",Governor,,DEM,Cynthia E. Nixon,64,56,8
Otsego,MORRIS 1 ,Governor,,DEM,Cynthia E. Nixon,45,43,2
Otsego,NEW LISBON 1 ,Governor,,DEM,Cynthia E. Nixon,24,24,0
Otsego,"ONEONTA 1,3,4 ",Governor,,DEM,Cynthia E. Nixon,130,120,10
Otsego,ONEONTA 2 ,Governor,,DEM,Cynthia E. Nixon,71,67,4
Otsego,"OTEGO 1,2 ",Governor,,DEM,Cynthia E. Nixon,67,62,5
Otsego,"OTSEGO 1,2 ",Governor,,DEM,Cynthia E. Nixon,128,122,6
Otsego,OTSEGO 3 ,Governor,,DEM,Cynthia E. Nixon,69,65,4
Otsego,PITTSFIELD 1 ,Governor,,DEM,Cynthia E. Nixon,17,13,4
Otsego,PLAINFIELD 1 ,Governor,,DEM,Cynthia E. Nixon,12,12,0
Otsego,"RICHFIELD 1,2 ",Governor,,DEM,Cynthia E. Nixon,29,22,7
Otsego,ROSEBOOM 1 ,Governor,,DEM,Cynthia E. Nixon,34,26,8
Otsego,SPRINGFIELD 1 ,Governor,,DEM,Cynthia E. Nixon,37,35,2
Otsego,"UNADILLA 1,2,3 ",Governor,,DEM,Cynthia E. Nixon,67,67,0
Otsego,WESTFORD 1 ,Governor,,DEM,Cynthia E. Nixon,23,23,0
Otsego,"WORCESTER 1,2,3 ",Governor,,DEM,Cynthia E. Nixon,56,50,6
Otsego,"ONEONTA CITY WARD 1,2,3,4,5,6,7,8 ",Governor,,DEM,Cynthia E. Nixon,403,381,22
Otsego,BURLINGTON 1 ,Governor,,DEM,Andrew M. Cuomo,17,15,2
Otsego,"BUTTERNUTS 1,2 ",Governor,,DEM,Andrew M. Cuomo,54,51,3
Otsego,CHERRY VALLEY 1 ,Governor,,DEM,Andrew M. Cuomo,40,39,1
Otsego,DECATUR 1 ,Governor,,DEM,Andrew M. Cuomo,4,3,1
Otsego,EDMESTON 1 ,Governor,,DEM,Andrew M. Cuomo,25,21,4
