county,precinct,office,district,party,candidate,votes
Schoharie,Town of Blenheim 1 LD 1,President,,DEM,Kamala D. Harris,72
Schoharie,Town of Blenheim 1 LD 1,President,,REP,Donald J. Trump,117
Schoharie,Town of Blenheim 1 LD 1,President,,CON,Donald J. Trump,15
Schoharie,Town of Blenheim 1 LD 1,President,,WOR,Kamala D. Harris,5
Schoharie,Town of Blenheim 1 LD 1,President,,,Write-in,1
Schoharie,Town of Blenheim 1 LD 1,U.S. Senate,,DEM,Kirsten E. Gillibrand,79
Schoharie,Town of Blenheim 1 LD 1,U.S. Senate,,REP,Michael D. Sapraicone,101
Schoharie,Town of Blenheim 1 LD 1,U.S. Senate,,CON,Michael D. Sapraicone,14
Schoharie,Town of Blenheim 1 LD 1,U.S. Senate,,WOR,Kirsten E. Gillibrand,11
Schoharie,Town of Blenheim 1 LD 1,U.S. House,21,DEM,Paula Collins,67
Schoharie,Town of Blenheim 1 LD 1,U.S. House,21,REP,Elise M. Stefanik,112
Schoharie,Town of Blenheim 1 LD 1,U.S. House,21,CON,Elise M. Stefanik,19
Schoharie,Town of Blenheim 1 LD 1,U.S. House,21,WOR,Paula Collins,7
Schoharie,Town of Blenheim 1 LD 1,State Senate,51,DEM,Michele Frazier,63
Schoharie,Town of Blenheim 1 LD 1,State Senate,51,REP,Peter Oberacker,117
Schoharie,Town of Blenheim 1 LD 1,State Senate,51,CON,Peter Oberacker,16
Schoharie,Town of Blenheim 1 LD 1,State Senate,51,WOR,Michele Frazier,6
Schoharie,Town of Blenheim 1 LD 1,State Assembly,102,DEM,Janet S. Tweed,59
Schoharie,Town of Blenheim 1 LD 1,State Assembly,102,REP,Christopher Tague,121
Schoharie,Town of Blenheim 1 LD 1,State Assembly,102,CON,Christopher Tague,18
Schoharie,Town of Blenheim 1 LD 1,State Assembly,102,WOR,Janet S. Tweed,7
Schoharie,Town of Broome 1 LD 1,President,,DEM,Kamala D. Harris,140
Schoharie,Town of Broome 1 LD 1,President,,REP,Donald J. Trump,336
Schoharie,Town of Broome 1 LD 1,President,,CON,Donald J. Trump,29
Schoharie,Town of Broome 1 LD 1,President,,WOR,Kamala D. Harris,6
Schoharie,Town of Broome 1 LD 1,President,,,Write-in,3
Schoharie,Town of Broome 1 LD 1,U.S. Senate,,DEM,Kirsten E. Gillibrand,147
Schoharie,Town of Broome 1 LD 1,U.S. Senate,,REP,Michael D. Sapraicone,302
Schoharie,Town of Broome 1 LD 1,U.S. Senate,,CON,Michael D. Sapraicone,30
Schoharie,Town of Broome 1 LD 1,U.S. Senate,,WOR,Kirsten E. Gillibrand,14
Schoharie,Town of Broome 1 LD 1,U.S. Senate,,LAR,Diane Sare,2
Schoharie,Town of Broome 1 LD 1,U.S. House,21,DEM,Paula Collins,131
